Assignment_ID,Assignment_Name,Assignment_Link,Remote_Testing_Support,Adaptive_IRT_Support,Test_Type,Approximate_Completion_Time,Job_Levels
1,Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,True,True,"C, P, A, B",49,"Mid-Professional,"
2,Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,True,True,"A, K, P",36,"Entry-Level,"
3,Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,True,True,"A, B, P, S",51,"Front Line Manager, Manager, Supervisor,"
4,Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,True,False,"B, P",30,"General Population, Graduate, Entry-Level,"
5,Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,True,False,"B, P",20,"Entry-Level, General Population, Graduate,"
6,Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,True,False,"A, B, K, P",35,"Entry-Level,"
7,Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,True,False,"A, B, P",45,"Entry-Level,"
8,Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,True,True,"A, B, P, S",45,"Front Line Manager, Manager, Supervisor,"
9,Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,True,True,"B, P, S, A",43,"Entry-Level,"
10,"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,True,True,"P, S, K, B, A",49,"Entry-Level,"
11,Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,True,False,"A, B, P",50,"Front Line Manager, Manager, Supervisor,"
12,Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,True,True,"B, A, P",28,"Entry-Level,"
13,Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,True,True,"P, S, A, B",48,"Manager,"
14,Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,True,False,"A, B, C, P, S",41,"Entry-Level,"
15,Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,True,False,"S, B, C, P",31,"Entry-Level,"
16,Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,True,True,"A, B, P, S",50,"Manager, Supervisor, Front Line Manager,"
17,Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,True,False,"P, B, C, A, S",41,"Entry-Level,"
18,Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,True,False,"S, B, C, P",31,"Entry-Level,"
19,Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,True,True,"A, B, P, S",45,"Front Line Manager, Professional Individual Contributor, Supervisor,"
20,Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,True,False,"A, B, P, S",39,"Entry-Level,"
21,Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,True,True,"A, B, P",42,"Entry-Level,"
22,Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,True,True,"A, B, P",42,"Entry-Level,"
23,Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,True,True,"A, B, P",44,"Entry-Level,"
24,Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,True,True,"A, B, P",69,"Director,"
25,District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,True,True,"A, B, P",65,"Manager,"
26,Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,True,False,"B, P, A",18,"Entry-Level,"
27,Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,True,False,"A, B, P",18,"Entry-Level,"
28,Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,True,False,"C, P",19,"Entry-Level,"
29,Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,True,False,"C, P",19,"Entry-Level,"
30,Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,True,False,"C, P",19,"Entry-Level,"
31,Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,True,False,"B, C, P",20,"Entry-Level,"
32,Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,True,False,"P, B, C",20,"Entry-Level,"
33,Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,True,False,"C, P, B",20,"Entry-Level,"
34,Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,True,True,"S, A, B, P",50,"Supervisor, Front Line Manager, Manager,"
35,Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,True,True,"A, B, P",74,"Executive,"
36,Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,True,False,"A, B, P",35,"Mid-Professional, Professional Individual Contributor,"
37,Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,True,False,"A, B, P",44,"Professional Individual Contributor,"
38,Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,True,True,"A, B, P",50,"Entry-Level,"
39,Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,True,True,"A, B, P, S",50,"Entry-Level,"
40,Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,True,True,"S, A, B, K, P",55,"Front Line Manager, Manager, Supervisor,"
41,General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,True,False,B,19,"Entry-Level,"
42,General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,True,False,B,19,"Entry-Level,"
43,General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,True,False,B,19,"Entry-Level,"
44,General Entry Level â€“ Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,True,False,"B, K",24,"General Population, Entry-Level,"
45,Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,True,False,"A, B, P",30,"Graduate,"
46,Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,True,False,"B, C",19,"Graduate,"
47,Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,True,False,"P, B",20,"Graduate,"
48,Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,True,False,B,18,"Entry-Level,"
49,Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,True,True,"A, B, P, S",48,"Entry-Level,"
50,Healthcare Aide 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,True,False,B,22,"Entry-Level,"
51,Healthcare Call Center Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,True,True,"A, B, P, S",44,"Entry-Level,"
52,Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,True,True,"A, B, P",37,"Entry-Level,"
53,Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,True,True,"A, B, P",30,"Entry-Level,"
54,Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,True,True,"A, B, P",41,"Entry-Level,"
55,Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,True,True,"A, B, K, P",57,"Front Line Manager, Manager, Supervisor,"
56,Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,True,True,"B, P",30,"Entry-Level,"
57,Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,True,False,B,20,"Entry-Level,"
58,Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,True,False,B,20,"Entry-Level,"
59,Industrial - Entry Level 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,True,False,B,20,"Entry-Level,"
60,Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,True,True,"A, B",49,"Entry-Level,"
61,Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,True,False,B,24,"Entry-Level,"
62,Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,True,False,B,24,"Entry-Level,"
63,Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,True,False,"A, B",49,"Entry-Level,"
64,Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,True,False,"A, B",49,"Entry-Level,"
65,Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,True,True,"A, B, P, S",49,"Professional Individual Contributor,"
66,Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,True,True,"A, B, P, S",48,"Mid-Professional,"
67,Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,True,True,"A, B, P, S",24,"Entry-Level,"
68,Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,True,True,"A, B, P",46,"Mid-Professional,"
69,Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,True,True,"A, B, P",49,"Director, Front Line Manager, Manager, Supervisor,"
70,Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,True,True,"A, B, P, S",51,"Front Line Manager, Manager, Supervisor,"
71,Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,True,True,"A, B, K, P, S",57,"Front Line Manager, Manager, Supervisor,"
72,Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,True,True,"A, B, C",53,"Front Line Manager, Manager,"
73,Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,True,True,"B, C, P",63,"Director, Executive, Front Line Manager, Manager,"
74,Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,True,True,"B, C, P",63,"Director, Executive, Front Line Manager, Manager,"
75,Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,True,False,"B, C",35,"Manager, Front Line Manager,"
76,Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,True,False,"B, C, P",40,"Executive, Director, Front Line Manager, Manager,"
77,Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,True,False,"B, C, P",40,"Director, Executive, Front Line Manager, Manager,"
78,Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,True,False,"B, K, P",26,"Manager,"
79,Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,True,False,"B, K, P",44,"Manager,"
80,Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,True,False,"A, B",35,"Entry-Level,"
81,Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,True,False,"A, B",45,"Entry-Level,"
82,Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,True,True,"P, S, K, B, A",41,"Professional Individual Contributor,"
83,Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,True,True,"S, A, B, P",59,"Front Line Manager, Manager, Supervisor,"
84,Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,True,True,"P, A, B",66,"Professional Individual Contributor,"
85,Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,True,False,"A, B, P",41,"Entry-Level,"
86,Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,True,False,"A, B, K, P, S",30,"Entry-Level, Mid-Professional,"
87,Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,True,False,"A, B, P",40,"Entry-Level, Mid-Professional,"
88,Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,True,True,"A, B, P",24,"Entry-Level,"
89,Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,True,True,"A, B, C",51,"Mid-Professional, Professional Individual Contributor,"
90,Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,True,True,"B, C, P",56,"General Population, Mid-Professional, Professional Individual Contributor,"
91,Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,True,True,"B, C, P",56,"General Population, Mid-Professional, Professional Individual Contributor,"
92,Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,True,False,"B, C",33,"Mid-Professional, Professional Individual Contributor,"
93,Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,True,False,"C, B",33,"Professional Individual Contributor, Mid-Professional,"
94,Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,True,False,"B, K, P",16,"Professional Individual Contributor,"
95,Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,True,True,"A, B, P, S",44,"Mid-Professional, Professional Individual Contributor,"
96,Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,True,True,"A, B, P, S",49,"Professional Individual Contributor,"
97,Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,True,False,S,30,"Entry-Level,"
98,Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,True,True,"A, P, S, B",43,"Entry-Level,"
99,Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,True,True,"A, B, P, S",48,"Front Line Manager, Manager, Supervisor,"
100,Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,True,True,"A, B, P",53,"Front Line Manager, Manager, Supervisor,"
101,Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,True,True,"A, B, P",45,"Entry-Level,"
102,Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,True,True,"A, B, P",43,"Front Line Manager, Manager, Supervisor,"
103,Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,True,True,"A, B, P",29,"Entry-Level,"
104,Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,True,True,"A, B, P",59,"Director, Front Line Manager, Manager,"
105,Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,True,True,"A, B, K, P, S",61,"Professional Individual Contributor,"
106,Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,True,True,"A, B, P",63,"Front Line Manager, Manager,"
107,Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,True,False,"C, B",21,"Mid-Professional, Professional Individual Contributor,"
108,Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,True,False,"B, C",21,"Professional Individual Contributor, Mid-Professional,"
109,Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,True,True,"A, B, P",47,"Mid-Professional,"
110,Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,True,True,"A, B, P",29,"Entry-Level,"
111,Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,True,True,"A, B, P",38,"Front Line Manager, Manager, Supervisor,"
112,Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,True,True,"A, B, P",43,"Entry-Level,"
113,Senior Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,True,False,"A, B, P",44,"Professional Individual Contributor,"
114,Senior Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,True,True,"A, B, P",42,"Professional Individual Contributor,"
115,Server Solution,https://www.shl.com/solutions/products/product-catalog/view/server-solution/,True,True,"B, A, P",40,"Entry-Level,"
116,Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,True,True,"A, B, P",38,"Entry-Level,"
117,Service Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/,True,True,"A, B, P",48,"Front Line Manager, Manager, Supervisor,"
118,Stock Clerk Solution,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,True,False,"A, B, P",25,"Entry-Level,"
119,Store Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/,True,False,"B, C",34,"Front Line Manager, Manager,"
120,Store Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,True,False,"B, C",34,"Front Line Manager, Manager,"
121,Store Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/,True,False,"C, B",34,"Front Line Manager, Manager,"
122,Store Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/,True,True,"A, B, P",49,"Manager, Supervisor,"
123,Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/,True,True,S,57,"Front Line Manager, Manager, Supervisor,"
124,Supervisor 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/,True,False,"B, C",32,"Supervisor,"
125,Supervisor 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/,True,False,"B, C, P",29,"Front Line Manager, Supervisor,"
126,Supervisor 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/,True,False,"P, C, B",29,"Supervisor, Front Line Manager,"
127,Support Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/,True,True,"A, B, P",38,"Entry-Level,"
128,Support Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/,True,True,"A, P, S, B",39,"Front Line Manager, Manager, Supervisor,"
129,Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,True,False,"A, B, P",41,"Entry-Level,"
130,Technician/Technologist Solution,https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/,True,True,"A, B, P",52,"Mid-Professional,"
131,Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,True,False,"C, P",16,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
132,Telenurse Solution,https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/,True,True,"A, B, P",68,"Mid-Professional,"
133,Teller 7.0,https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/,True,True,"B, K, P, S",35,"Entry-Level,"
134,Teller with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/,True,False,"A, B, K, P, S",35,"Entry-Level,"
135,Transcriptionist Solution,https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/,True,True,"A, B, K, P",33,"Entry-Level,"
136,Workplace Safety - Individual 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/,True,False,B,16,"Entry-Level,"
137,Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/,True,False,B,16,"Entry-Level,"
138,Workplace Safety - Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/,True,False,B,20,"Director,"
139,Workplace Safety - Team 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,True,False,"B, C, P",20,"Entry-Level, General Population, Professional Individual Contributor,"
140,Workplace Safety - Team 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/,True,False,"B, C, P",20,"Entry-Level, General Population, Professional Individual Contributor,"
141,Workplace Safety Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/,True,True,"B, P",21,"Entry-Level,"
